platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,zackrawrr,zackrawrr,552120296,1500685,79340,23821,3780,27773,3365746,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-300x300.png,US,en,without status,Male
twitch,woowakgood,우왁굳,49045679,1334129,55038,20983,3815,4490,4006430,VRChat,https://static-cdn.jtvnw.net/jtv_user_pictures/ebc60c08-721b-4572-8f51-8be7136a0c96-profile_image-300x300.png,KR,ko,partner,Male
twitch,riotgames,Riot Games,36029255,1308145,361628,261629,300,31939,4343545,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/5cf50253-c2b5-4012-992d-a0ad1898d337-profile_image-300x300.png,,en,partner,Organization
twitch,stylishnoob4,stylishnoob4,50988750,1286127,29473,17401,4435,5342,3232282,Gundam Evolution,https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-300x300.png,JP,ja,partner,Male
twitch,elmariana,ElMariana,496795673,1277938,58745,38629,1985,65795,4150570,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-300x300.png,MX,es,partner,Male
twitch,caedrel,Caedrel,92038375,1276694,31534,7906,9690,13759,2266593,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-300x300.png,DE,en,partner,Male
twitch,kato_junichi0817,加藤純一です,545050196,1226769,69181,25558,2880,4981,2912769,Monster Hunter Rise,https://static-cdn.jtvnw.net/jtv_user_pictures/a4977cfd-1962-41ec-9355-ab2611b97552-profile_image-300x300.png,jp,ja,affilate,Male
twitch,fps_shaka,fps_shaka,49207184,1185378,44078,19146,3715,4514,2571858,Gundam Evolution,https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-300x300.png,JP,ja,partner,Male
twitch,csgo_mc,csgo_mc,213748641,1171759,94083,21468,3275,5455,3038816,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/jtv_user_pictures/22291960-3b5d-4bfd-b929-188df129403e-profile_image-300x300.png,UA,ru,partner,Organization
twitch,castro_1021,Castro_1021,52091823,1155799,53186,31739,2185,29964,3121172,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-300x300.jpg,US,en,partner,Male
twitch,ibai,ibai,83232866,1090597,64488,36660,1785,27255,5525828,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/574228be-01ef-4eab-bc0e-a4f6b68bedba-profile_image-300x300.png,ES,es,partner,Male
